,transaction_id,trans_group_en,procedure_name_en,instance_date,property_type_en,property_sub_type_en,property_usage_en,reg_type_en,area_name_en,building_name_en,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,instance_year,instance_month,instance_day,sector_name,area_lat,area_lon
1270517,1-11-2007-202233,Sales,Sell,2007-12-25,Unit,Flat,Residential,Existing Properties,Marsa Dubai,Shams 2,,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,2 B/R,1,119.77,1050000.0,8766.8,2007.0,12.0,25.0,Unknown,25.09547176,55.13076456
1262570,1-41-2023-10089,Sales,Delayed Sell,2023-05-30,Land,,Commercial,Existing Properties,Jabal Ali First,,Murooj Al Furjan 2 ,Al Furjan,,,,,0,668.74,5300000.0,7925.35,2023.0,5.0,30.0,Unknown,25.03192836,55.14232708
1249207,1-11-2008-4947,Sales,Sell,2008-09-09,Villa,,Residential,Existing Properties,Palm Jumeirah,,,Palm Jumeirah,Burj Al Arab,Knowledge Village,Marina Mall,,0,1244.73,4650000.0,3735.75,2008.0,9.0,9.0,West,25.1193271,55.1317401
217823,2-13-2005-181,Mortgages,Mortgage Registration,2005-03-07,Villa,,Residential,Existing Properties,Mirdif,,,,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,,0,935.53,960000.0,1026.16,2005.0,3.0,7.0,North,25.22331903,55.42166405
382139,2-110-2014-1079,Mortgages,Lease to Own Registration,2014-05-20,Unit,Flat,Residential,Existing Properties,Al Thanyah Fifth,AL SHERA,ALSHERA TOWER,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,1 B/R,1,92.28,975000.0,10565.67,2014.0,5.0,20.0,West,25.051959,55.15578
625602,1-11-2011-7476,Sales,Sell,2011-05-02,Unit,Flat,Residential,Existing Properties,Al Warsan First,RIVIERA LAKE VIEW,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,1 B/R,1,41.9,230000.0,5489.26,2011.0,5.0,2.0,Unknown,25.1599767,55.4246648
1399884,1-11-2017-13810,Sales,Sell,2017-11-14,Villa,Villa,Residential,Existing Properties,Al Thanyah Third,,The Lakes Zulal,,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,3 B/R,0,227.62,2400000.0,10543.89,2017.0,11.0,14.0,West,25.094255,55.161612
620362,1-102-2024-92615,Sales,Sell - Pre registration,2024-11-01,Unit,Flat,Residential,Off-Plan Properties,Business Bay,Al Habtoor Tower,Al Habtoor Tower,,Downtown Dubai,Business Bay Metro Station,Dubai Mall,1 B/R,1,98.01,2514653.0,25657.12,2024.0,11.0,1.0,Unknown,25.18762593,55.27989946
1304489,1-102-2024-101006,Sales,Sell - Pre registration,2024-12-02,Unit,Flat,Residential,Off-Plan Properties,Al Khairan First,Altus Tower 2,Altus,The Lagoons,,,,2 B/R,1,133.02,2790888.0,20980.97,2024.0,12.0,2.0,North_Central,25.19564786,55.36033252
478216,1-851-2023-120,Sales,Development Registration Pre-Registration,2023-03-06,Unit,Flat,Residential,Off-Plan Properties,Nadd Hessa,MAS Tower,MAS TOWER,Silicon Oasis,IMG World Adventures,,,1 B/R,1,80.39,216327.0,2690.98,2023.0,3.0,6.0,Unknown,25.12321,55.386619
3371,1-41-2010-1638,Sales,Delayed Sell,2012-04-12,Unit,Flat,Residential,Existing Properties,Burj Khalifa,YANSOON 2,,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3 B/R,1,168.8,2938888.0,17410.47,2012.0,4.0,12.0,Unknown,25.19005375,55.27814093
840690,1-102-2025-7238,Sales,Sell - Pre registration,2025-01-30,Villa,Villa,Residential,Off-Plan Properties,Wadi Al Safa 5,,La Violeta 2,,IMG World Adventures,,,3 B/R,0,161.0,2670000.0,16583.85,2025.0,1.0,30.0,Central,25.08232101,55.36365192
144961,1-102-2022-40707,Sales,Sell - Pre registration,2022-12-08,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah Second,SAMANA SANTORINI,Samana Santorini,Dubai Studio City,Motor City,,,Studio,1,41.07,504612.0,12286.63,2022.0,12.0,8.0,Central,25.03836176,55.24784173
812335,1-41-2014-5436,Sales,Delayed Sell,2014-10-27,Unit,Flat,Residential,Existing Properties,Wadi Al Safa 3,MADISON COLUMBUS,,,IMG World Adventures,,,Studio,1,51.2,862000.0,16835.94,2014.0,10.0,27.0,Central,25.11569338,55.32337167
194396,1-11-2018-8368,Sales,Sell,2018-08-15,Unit,Flat,Residential,Existing Properties,Marsa Dubai,Bahar 1,,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,1 B/R,1,107.35,1200000.0,11178.39,2018.0,8.0,15.0,Unknown,25.09547176,55.13076456
1194205,1-41-2017-137,Sales,Delayed Sell,2017-01-17,Villa,,Commercial,Existing Properties,Al Yufrah 2,,DAMAC HILLS (2) - VARDON ,DAMAC HILLS 2,Dubai Cycling Course,,,,0,112.24,999999.0,8909.47,2017.0,1.0,17.0,South,24.96525116,55.39088193
320257,1-11-2023-33835,Sales,Sell,2023-10-20,Unit,Flat,Residential,Existing Properties,Zaabeel Second,Downtown Views II T2,Downtown Views II,,Burj Khalifa,Financial Centre,Dubai Mall,1 B/R,1,66.81,1730000.0,25894.33,2023.0,10.0,20.0,Unknown,25.1988826,55.29829935
200875,1-11-2022-3890,Sales,Sell,2022-03-01,Unit,Flat,Residential,Existing Properties,Al Warsan First,U-02,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,68.0,295000.0,4338.24,2022.0,3.0,1.0,Unknown,25.1599767,55.4246648
817274,1-102-2024-43307,Sales,Sell - Pre registration,2024-06-14,Unit,Flat,Residential,Off-Plan Properties,Al Barsha South Fifth,SESLIA TOWER,Seslia Tower,Jumeirah Village Triangle,Sports City Swimming Academy,Damac Properties,Marina Mall,1 B/R,1,53.36,613332.0,11494.23,2024.0,6.0,14.0,Central,25.04291825,55.18747333
1169931,2-43-2020-39,Mortgages,Portfolio Mortgage Registration,2020-04-30,Land,,Residential,Existing Properties,Wadi Al Safa 3,,,Al Barari,IMG World Adventures,,,,0,1190.55,15400000.0,12935.2,2020.0,4.0,30.0,Central,25.11569338,55.32337167
1175390,1-11-2018-2361,Sales,Sell,2018-03-05,Unit,Flat,Residential,Existing Properties,Al Hebiah Fourth,THE BRIDGE,THE BRIDGE,Dubai Sports City,Sports City Swimming Academy,Dubai Internet City,Mall of the Emirates,Studio,1,52.08,400000.0,7680.49,2018.0,3.0,5.0,Central,25.03502194,55.21354639
978273,2-110-2011-3144,Mortgages,Lease to Own Registration,2012-01-16,Unit,Flat,Residential,Existing Properties,Marsa Dubai,Sulafa Tower,SULAFA TOWER,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,90.55,1349760.0,14906.24,2012.0,1.0,16.0,Unknown,25.09547176,55.13076456
850018,1-11-2018-8466,Sales,Sell,2018-08-27,Unit,Office,Commercial,Existing Properties,Al Thanyah First,CAYAN Business Center,,TECOM Site C,Burj Al Arab,Dubai Internet City,Mall of the Emirates,Office,1,285.96,2770240.0,9687.51,2018.0,8.0,27.0,West,25.0987035,55.1725124
1291146,1-11-2023-24903,Sales,Sell,2023-08-07,Unit,Flat,Residential,Existing Properties,Al Thanyah Third,AL THAYYAL-4,,The Greens,Burj Al Arab,Dubai Internet City,Marina Mall,1 B/R,1,74.34,900000.0,12106.54,2023.0,8.0,7.0,West,25.094255,55.161612
1416554,1-102-2016-150,Sales,Sell - Pre registration,2016-01-11,Unit,Flat,Residential,Off-Plan Properties,Al Hebiah Third,Golf Promenade 2 - B,DAMAC HILLS - GOLF PROMENADE,DAMAC HILLS,Motor City,,,1 B/R,1,86.31,1301500.0,15079.37,2016.0,1.0,11.0,Central,25.02147288,55.26216265
900908,2-107-2015-40,Mortgages,Lease to Own Registration Pre-Registration,2016-01-25,Unit,Flat,Residential,Off-Plan Properties,Wadi Al Safa 2,Mazaya 2,QPOINT LIWAN - PLOT R003,Liwan,IMG World Adventures,,,1 B/R,1,75.48,672723.0,8912.6,2016.0,1.0,25.0,Central,25.10606176,55.36153117
721945,1-102-2018-13672,Sales,Sell - Pre registration,2018-10-15,Unit,Flat,Residential,Off-Plan Properties,Al Warsan First,LAWNZ BLOCK 3,Lawnz Residence by Danube ,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,1 B/R,1,58.4,520000.0,8904.11,2018.0,10.0,15.0,Unknown,25.1599767,55.4246648
69732,3-9-2024-744,Gifts,Grant,2024-02-16,Unit,Flat,Residential,Existing Properties,Burj Khalifa,Burj ViewsTower A,BURJ VIEWS,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,125.23,1270604.0,10146.17,2024.0,2.0,16.0,Unknown,25.19005375,55.27814093
1063843,1-41-2016-2660,Sales,Delayed Sell,2016-05-26,Unit,Flat,Residential,Existing Properties,Um Hurair Second,CREEK HEIGHTS,,Dubai Health Care City Phase 1,Dubai International Airport,Healthcare City Metro Station,Dubai Mall,Studio,1,70.05,1506555.0,21506.85,2016.0,5.0,26.0,Unknown,25.23840744,55.32760641
712305,2-13-2022-10930,Mortgages,Mortgage Registration,2022-07-21,Unit,Flat,Residential,Existing Properties,Marsa Dubai,MARINA VIEW TOWER A,,Dubai Marina,Burj Al Arab,Marina Mall Metro Station,Marina Mall,1 B/R,1,117.48,717200.0,6104.87,2022.0,7.0,21.0,Unknown,25.09547176,55.13076456
1336174,1-102-2022-9171,Sales,Sell - Pre registration,2022-04-18,Unit,Flat,Residential,Off-Plan Properties,Marsa Dubai,Stella Maris,STELLA MARIS,Dubai Marina,Sports City Swimming Academy,Jumeirah Beach Residency,Marina Mall,2 B/R,1,174.44,4130830.0,23680.52,2022.0,4.0,18.0,Unknown,25.09547176,55.13076456
666288,1-102-2007-1623,Sales,Sell - Pre registration,2009-08-11,Unit,Flat,Residential,Off-Plan Properties,Marsa Dubai,ELITE RESIDENCE,ELITE RESIDENCE,Dubai Marina,Burj Al Arab,Mina Seyahi,Marina Mall,1 B/R,1,89.24,1361584.0,15257.55,2009.0,8.0,11.0,Unknown,25.09547176,55.13076456
414215,1-102-2024-105231,Sales,Sell - Pre registration,2024-12-16,Unit,Flat,Residential,Off-Plan Properties,Palm Deira,Building 02,"Bay Grove Residences, Dubai Islands",Palm Deira,,,,2 B/R,1,152.03,3513000.0,23107.28,2024.0,12.0,16.0,Unknown,25.33227698,55.2704399
1376025,1-102-2022-37043,Sales,Sell - Pre registration,2022-11-10,Unit,Flat,Residential,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,Hills Park,Hills Park,DUBAI HILLS,,,,2 B/R,1,99.68,1765888.0,17715.57,2022.0,11.0,10.0,Central,25.1053253,55.26733804
852618,2-13-2013-8628,Mortgages,Mortgage Registration,2013-12-18,Villa,,Residential,Existing Properties,Al Warqa Fourth,,,,,Rashidiya Metro Station,City Centre Mirdif,,0,954.21,750000.0,785.99,2013.0,12.0,18.0,Unknown,25.19072164,55.44018296
332094,1-11-2014-8299,Sales,Sell,2014-03-26,Unit,Office,Commercial,Existing Properties,Al Thanyah Fifth,Gold Tower,AG TOWER,Jumeirah Lakes Towers,Sports City Swimming Academy,Jumeirah Lakes Towers,Marina Mall,Office,1,105.63,1200000.0,11360.41,2014.0,3.0,26.0,West,25.051959,55.15578
